Removed Pin From Net: NetName=3.3VD Pin=C10-1
Removed Pin From Net: NetName=3.3VD Pin=C11-1
Removed Pin From Net: NetName=GND Pin=U3-8
Removed Pin From Net: NetName=74HC148_Status_LED Pin=U3-14
Removed Pin From Net: NetName=3.3VD Pin=U3-16
Change Component Footprint: Designator=C9 Old Footprint=CAPC0603(1608)100_N New Footprint=FP-GRM155-0_05-IPC_A
Change Component Footprint: Designator=C10 Old Footprint=CAPC0603(1608)100_N New Footprint=FP-GRM155-0_05-IPC_A
Change Component Footprint: Designator=C11 Old Footprint=CAPC0603(1608)100_N New Footprint=FP-GRM155-0_05-IPC_A
Change Component Footprint: Designator=U3 Old Footprint=D0016A_N New Footprint=TQFP100_N
Change Component Footprint: Designator=U1 Old Footprint=SLAB-QFN-24-2550X2550TP_A_V New Footprint=SLAB-QFN-24-2550x2550TP_A_V
Change Component Comment : Designator=C9 Old Comment=CAP 1uF 25V 0603(1608) New Comment=0.1uF
Change Component Comment : Designator=C11 Old Comment=CAP 100nF 6.3V New Comment=0.01uF
Change Component Comment : Designator=C10 Old Comment=CAP 100uF 6.3V New Comment=0.1uF
Change Component Comment : Designator=U3 Old Comment=SN74HC148DRG4 New Comment=LCMXO2-256HC-4TG100I
Change Component Designator: OldDesignator=LED4 NewDesignator=LED5
Change Component Designator: OldDesignator=LED5 NewDesignator=LED6
Change Component Designator: OldDesignator=P2 NewDesignator=P5
Change Component Designator: OldDesignator=P3 NewDesignator=P4
Change Component Designator: OldDesignator=R1 NewDesignator=R7
Change Component Designator: OldDesignator=R7 NewDesignator=R8
Change Managed Component Library Link : Designator=C9 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=FF6A6C72-D41F-48D5-9F6B-1B5F83D1AA7B New ItemGUID=387617DD-368F-453F-A016-40A59C9578F5 Old RevisionGUID=AC81C066-ACC2-49A8-AE69-4D0267DFDA8E New RevisionGUID=C8ACAF9B-D09C-4F44-83E7-AA9814264406
Change Managed Component Library Link : Designator=C10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=A5C07A10-8D0E-4A92-95CE-1B78142C97B3 New ItemGUID=387617DD-368F-453F-A016-40A59C9578F5 Old RevisionGUID=AAC0A3AD-DBD2-4FB5-BCD6-24CE06E5BB6A New RevisionGUID=C8ACAF9B-D09C-4F44-83E7-AA9814264406
Change Managed Component Library Link : Designator=C11 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=A5C07A10-8D0E-4A92-95CE-1B78142C97B3 New ItemGUID=387617DD-368F-453F-A016-40A59C9578F5 Old RevisionGUID=AAC0A3AD-DBD2-4FB5-BCD6-24CE06E5BB6A New RevisionGUID=C8ACAF9B-D09C-4F44-83E7-AA9814264406
Change Managed Component Library Link : Designator=U3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=95171875-0CF8-4C2D-A75C-FA11634B6347 New ItemGUID=21B68FE1-2A25-493C-BC97-1059CA840472 Old RevisionGUID=F281BEC8-6FDC-4275-9EA6-DE3CFC84912D New RevisionGUID=5F80F9DC-E6A2-4A23-A754-B21724C69255
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=93933755-533F-4928-8D22-D19A84AE1526 New ItemGUID= Old RevisionGUID=7BAF6B79-E069-4F8D-8ADF-F5030186515E New RevisionGUID=
Change component parameters: Designator = "U3" ("U3"); Footprint = "D0016A_N"; UniqueID = "\IXFULSAW" ("\IXFULSAW")
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "GRM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.022inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.5mm"; VariantName = "[No Variations]"
Added Component: Designator=C27(FP-GRM155-0_05-IPC_A)
Add component (AddParameter): Name = "Capacitance"; Value = "220nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "10GR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "GRM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.022inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.5mm"; VariantName = "[No Variations]"
Added Component: Designator=L1(0402-A)
Add component (AddParameter): Name = "Code_IEC"; Value = "1005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEITA"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "29-May-2009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "IPC-7351 Footprint Added."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Chip Inductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0402-A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "600ohm"; VariantName = "[No Variations]"
Added Component: Designator=LED4(0603_A)
Add component (AddParameter): Name = "Color"; Value = "Blue"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://katalog.we-online.com/led/datasheet/150060BS75000.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Wuerth Elektronik"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603_A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "150060BS75000"; VariantName = "[No Variations]"
Added Component: Designator=P2(HDR2X7_CEN)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Component: Designator=P3(HDR1X12)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Component: Designator=R1(RESC0603(1608)_N)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1000.00 Ohm"; VariantName = "[No Variations]"
Added Component: Designator=R9(RESC0603(1608)_N)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1000.00 Ohm"; VariantName = "[No Variations]"
Added Component: Designator=R10(RESC0603(1608)_N)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1000.00 Ohm"; VariantName = "[No Variations]"
Added Component: Designator=R11(RESC0603(1608)_N)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1000.00 Ohm"; VariantName = "[No Variations]"
Added Component: Designator=R12(RESC0603(1608)_N)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1000.00 Ohm"; VariantName = "[No Variations]"
Added Component: Designator=R13(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0"; VariantName = "[No Variations]"
Added Component: Designator=R14(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1K 5%"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=GND Pin=C12-2
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=GND Pin=C14-2
Added Pin To Net: NetName=GND Pin=C15-2
Added Pin To Net: NetName=GND Pin=C16-1
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=GND Pin=C17-2
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=GND Pin=C18-2
Added Pin To Net: NetName=CC1310_nRESET Pin=C19-1
Added Pin To Net: NetName=GND Pin=C19-2
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=3.3VD Pin=C20-2
Added Pin To Net: NetName=GND Pin=C21-1
Added Pin To Net: NetName=GND Pin=C21-2
Added Pin To Net: NetName=GND Pin=C22-1
Added Pin To Net: NetName=GND Pin=C22-2
Added Pin To Net: NetName=GND Pin=C23-1
Added Pin To Net: NetName=GND Pin=C23-2
Added Pin To Net: NetName=GND Pin=C24-1
Added Pin To Net: NetName=GND Pin=C24-2
Added Pin To Net: NetName=GND Pin=C25-1
Added Pin To Net: NetName=GND Pin=C25-2
Added Pin To Net: NetName=GND Pin=C26-1
Added Pin To Net: NetName=GND Pin=C26-2
Added Pin To Net: NetName=GND Pin=C27-1
Added Pin To Net: NetName=GND Pin=C27-2
Added Pin To Net: NetName=3.3VD Pin=L1-1
Added Pin To Net: NetName=GND Pin=R9-1
Added Pin To Net: NetName=GND Pin=R10-1
Added Pin To Net: NetName=GND Pin=R11-1
Added Pin To Net: NetName=GND Pin=SW1-1'
Added Pin To Net: NetName=GND Pin=U3-6
Added Pin To Net: NetName=GND Pin=U3-11
Added Pin To Net: NetName=GND Pin=U3-22
Added Pin To Net: NetName=GND Pin=U3-23
Added Pin To Net: NetName=GND Pin=U3-26
Added Pin To Net: NetName=GND Pin=U3-33
Added Pin To Net: NetName=GND Pin=U3-44
Added Pin To Net: NetName=GND Pin=U3-46
Added Pin To Net: NetName=GND Pin=U3-55
Added Pin To Net: NetName=GND Pin=U3-56
Added Pin To Net: NetName=GND Pin=U3-72
Added Pin To Net: NetName=GND Pin=U3-73
Added Pin To Net: NetName=GND Pin=U3-79
Added Pin To Net: NetName=GND Pin=U3-80
Added Pin To Net: NetName=GND Pin=U3-92
Added Pin To Net: NetName=GND Pin=U3-93
Change Net Name : Old Net Name=NetLED4_2 New Net Name=NetLED5_2
Change Net Name : Old Net Name=NetLED5_2 New Net Name=NetLED6_2
Change Net Name : Old Net Name=NetR1_2 New Net Name=NetR7_2
Added Pin To Net: NetName=3.3V Pin=C12-1
Added Pin To Net: NetName=3.3V Pin=C13-1
Added Pin To Net: NetName=3.3V Pin=C14-1
Added Pin To Net: NetName=3.3V Pin=C15-1
Added Pin To Net: NetName=3.3V Pin=L1-2
Added Pin To Net: NetName=3.3V Pin=P2-1
Added Pin To Net: NetName=3.3V Pin=R1-2
Added Pin To Net: NetName=3.3V Pin=R9-2
Added Pin To Net: NetName=3.3V Pin=R10-2
Added Pin To Net: NetName=3.3V Pin=R11-2
Added Pin To Net: NetName=3.3V Pin=R12-2
Added Pin To Net: NetName=3.3V Pin=U3-50
Added Pin To Net: NetName=3.3V Pin=U3-100
Added Net: Name=3.3V
Added Pin To Net: NetName=FPGA_INITn Pin=LED4-1
Added Pin To Net: NetName=FPGA_INITn Pin=P2-14
Added Pin To Net: NetName=FPGA_INITn Pin=U3-77
Added Net: Name=FPGA_INITn
Added Pin To Net: NetName=NetLED4_2 Pin=LED4-2
Added Pin To Net: NetName=NetLED4_2 Pin=R1-1
Added Net: Name=NetLED4_2
Added Pin To Net: NetName=NetP2_2 Pin=P2-2
Added Pin To Net: NetName=NetP2_2 Pin=U3-95
Added Net: Name=NetP2_2
Added Pin To Net: NetName=NetP2_3 Pin=P2-3
Added Pin To Net: NetName=NetP2_3 Pin=U3-94
Added Net: Name=NetP2_3
Added Pin To Net: NetName=NetP2_4 Pin=P2-4
Added Pin To Net: NetName=NetP2_4 Pin=U3-91
Added Net: Name=NetP2_4
Added Pin To Net: NetName=NetP2_5 Pin=P2-5
Added Pin To Net: NetName=NetP2_5 Pin=U3-90
Added Net: Name=NetP2_5
Added Pin To Net: NetName=NetP2_6 Pin=P2-6
Added Pin To Net: NetName=NetP2_6 Pin=U3-82
Added Net: Name=NetP2_6
Added Pin To Net: NetName=NetP2_7 Pin=P2-7
Added Pin To Net: NetName=NetP2_7 Pin=U3-81
Added Net: Name=NetP2_7
Added Pin To Net: NetName=NetP2_8 Pin=P2-8
Added Pin To Net: NetName=NetP2_8 Pin=U3-32
Added Net: Name=NetP2_8
Added Pin To Net: NetName=NetP2_9 Pin=P2-9
Added Pin To Net: NetName=NetP2_9 Pin=U3-31
Added Net: Name=NetP2_9
Added Pin To Net: NetName=NetP2_10 Pin=P2-10
Added Pin To Net: NetName=NetP2_10 Pin=U3-27
Added Net: Name=NetP2_10
Added Pin To Net: NetName=NetP2_11 Pin=P2-11
Added Pin To Net: NetName=NetP2_11 Pin=U3-49
Added Net: Name=NetP2_11
Added Pin To Net: NetName=NetP2_12 Pin=P2-12
Added Pin To Net: NetName=NetP2_12 Pin=U3-48
Added Net: Name=NetP2_12
Added Pin To Net: NetName=NetP2_13 Pin=P2-13
Added Pin To Net: NetName=NetP2_13 Pin=U3-76
Added Net: Name=NetP2_13
Added Pin To Net: NetName=NetP3_1 Pin=P3-1
Added Pin To Net: NetName=NetP3_1 Pin=U3-75
Added Net: Name=NetP3_1
Added Pin To Net: NetName=NetP3_2 Pin=P3-2
Added Pin To Net: NetName=NetP3_2 Pin=U3-74
Added Net: Name=NetP3_2
Added Pin To Net: NetName=NetP3_3 Pin=P3-3
Added Pin To Net: NetName=NetP3_3 Pin=U3-71
Added Net: Name=NetP3_3
Added Pin To Net: NetName=NetP3_4 Pin=P3-4
Added Pin To Net: NetName=NetP3_4 Pin=U3-70
Added Net: Name=NetP3_4
Added Pin To Net: NetName=NetP3_5 Pin=P3-5
Added Pin To Net: NetName=NetP3_5 Pin=U3-67
Added Net: Name=NetP3_5
Added Pin To Net: NetName=NetP3_6 Pin=P3-6
Added Pin To Net: NetName=NetP3_6 Pin=U3-66
Added Net: Name=NetP3_6
Added Pin To Net: NetName=NetP3_7 Pin=P3-7
Added Pin To Net: NetName=NetP3_7 Pin=U3-58
Added Net: Name=NetP3_7
Added Pin To Net: NetName=NetP3_8 Pin=P3-8
Added Pin To Net: NetName=NetP3_8 Pin=U3-57
Added Net: Name=NetP3_8
Added Pin To Net: NetName=NetP3_9 Pin=P3-9
Added Pin To Net: NetName=NetP3_9 Pin=U3-54
Added Net: Name=NetP3_9
Added Pin To Net: NetName=NetP3_10 Pin=P3-10
Added Pin To Net: NetName=NetP3_10 Pin=U3-53
Added Net: Name=NetP3_10
Added Pin To Net: NetName=NetP3_11 Pin=P3-11
Added Pin To Net: NetName=NetP3_11 Pin=U3-52
Added Net: Name=NetP3_11
Added Pin To Net: NetName=NetP3_12 Pin=P3-12
Added Pin To Net: NetName=NetP3_12 Pin=R13-1
Added Net: Name=NetP3_12
Added Pin To Net: NetName=NetR13_2 Pin=R13-2
Added Pin To Net: NetName=NetR13_2 Pin=R14-2
Added Pin To Net: NetName=NetR13_2 Pin=U3-51
Added Net: Name=NetR13_2
Added Pin To Net: NetName=VCCIO3 Pin=R12-1
Added Net: Name=VCCIO3
Added Pin To Net: NetName=Visual_label_PWM Pin=M1-7
Added Pin To Net: NetName=Visual_label_PWM Pin=P1-4
Added Pin To Net: NetName=Visual_label_PWM Pin=R14-1
Added Net: Name=Visual_label_PWM
Added Member To Class: ClassName=triggerbox Member=Component C10 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C11 0.01uF
Added Member To Class: ClassName=triggerbox Member=Component C12 10uF
Added Member To Class: ClassName=triggerbox Member=Component C13 1uF
Added Member To Class: ClassName=triggerbox Member=Component C14 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C15 0.01uF
Added Member To Class: ClassName=triggerbox Member=Component C16 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C17 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C18 0.01uF
Added Member To Class: ClassName=triggerbox Member=Component C19 CAP 1uF 25V
Added Member To Class: ClassName=triggerbox Member=Component C20 CAP 100nF 6.3V
Added Member To Class: ClassName=triggerbox Member=Component C21 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C22 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C23 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C24 0.01uF
Added Member To Class: ClassName=triggerbox Member=Component C25 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C26 0.1uF
Added Member To Class: ClassName=triggerbox Member=Component C27 0.01uF
Added Member To Class: ClassName=triggerbox Member=Component L1 500mA
Added Member To Class: ClassName=triggerbox Member=Component LED6 150060BS75000
Added Member To Class: ClassName=triggerbox Member=Component P3 Header 12
Added Member To Class: ClassName=triggerbox Member=Component P5 Header 3
Added Member To Class: ClassName=triggerbox Member=Component R8 10K 1% 0603(1608)
Added Member To Class: ClassName=triggerbox Member=Component R9 1
Added Member To Class: ClassName=triggerbox Member=Component R10 1
Added Member To Class: ClassName=triggerbox Member=Component R11 1
Added Member To Class: ClassName=triggerbox Member=Component R12 1
Added Member To Class: ClassName=triggerbox Member=Component R13 Res1
Added Member To Class: ClassName=triggerbox Member=Component R14 Res1
Added Room: Name=triggerbox
